sku,品类,供应商,平台,地区,金额,日期,相似度,结果,缺陷
SKU-R001,3C数码,S3,Amazon,US,329.00,2026-05-12,0.91,赢,外包装破损
SKU-R002,饰品配件,S1,AliExpress,UK,89.50,2026-05-20,0.62,输,描述不符;货不对板
SKU-R003,小家电,S5,Temu,DE,459.00,2026-06-03,0.88,赢,功能缺陷
SKU-R004,服饰鞋包,S2,SHEIN,FR,159.00,2026-06-15,0.55,输,材质不符
SKU-R005,3C数码,S3,Amazon,US,299.00,2026-06-28,0.93,赢,无明显瑕疵
SKU-R006,饰品配件,S1,AliExpress,UK,75.00,2026-07-02,0.58,输,描述不符
SKU-R007,小家电,S5,Temu,DE,520.00,2026-07-11,0.90,赢,划痕
SKU-R008,服饰鞋包,S2,SHEIN,ES,139.00,2026-07-19,0.51,输,货不对板
SKU-R009,3C数码,S3,Amazon,US,349.00,2026-07-25,0.94,赢,无明显瑕疵
SKU-R010,饰品配件,S1,AliExpress,UK,99.00,2026-08-01,0.60,输,描述不符;色差
SKU-R011,小家电,S5,Temu,DE,489.00,2026-08-06,0.87,赢,功能缺陷
SKU-R012,服饰鞋包,S2,SHEIN,FR,169.00,2026-08-12,0.53,输,材质不符
SKU-R013,3C数码,S3,Amazon,US,319.00,2026-08-18,0.92,赢,外包装破损
SKU-R014,饰品配件,S1,AliExpress,RU,85.00,2026-08-22,0.57,输,货不对板
SKU-R015,小家电,S5,Temu,BR,505.00,2026-08-27,0.89,赢,划痕
SKU-R016,服饰鞋包,S2,SHEIN,US,149.00,2026-09-01,0.54,输,描述不符
SKU-R017,3C数码,S3,Amazon,UK,339.00,2026-09-05,0.95,赢,无明显瑕疵
SKU-R018,饰品配件,S1,AliExpress,DE,92.00,2026-09-09,0.59,输,色差
SKU-R019,小家电,S5,Temu,FR,475.00,2026-09-14,0.86,赢,功能缺陷
SKU-R020,服饰鞋包,S2,SHEIN,ES,159.00,2026-09-19,0.52,输,材质不符
