case_id,sku,sku_name,category,supplier,supplier_name,platform,language,region,amount,date,similarity,same_item,defect_tags,defect_description,consistency,outcome,mode
RG-000001,AMZ-P21149,Beauty · P21149,饰品配件,S7,锐捷制造,Amazon,en,US,102.13,2025-08-16,0.927,True,无明显瑕疵,Duplicate order,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000002,AMZ-P23149,Sports · P23149,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,59.84,2026-01-09,0.844,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000003,AMZ-P22340,Clothing · P22340,服饰鞋包,S7,锐捷制造,Amazon,en,US,21.6,2025-05-09,0.925,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,部分退款,dataset
RG-000004,AMZ-P23146,Toys · P23146,饰品配件,S6,海贸乱发(劣),Amazon,en,US,283.93,2026-07-04,0.842,True,货不对板,Size/fit issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000005,AMZ-P23120,Home · P23120,小家电,S6,海贸乱发(劣),Amazon,en,US,129.66,2025-12-07,0.898,True,商品缺件,Missing parts,存在差异（货不对板 / 运输或质量瑕疵）,赢,dataset
RG-000006,AMZ-P20032,Books · P20032,饰品配件,S7,锐捷制造,Amazon,en,US,464.28,2025-04-03,0.936,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000007,AMZ-P21486,Books · P21486,饰品配件,S3,鑫源电子(劣),Amazon,en,US,61.97,2026-08-07,0.901,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000008,AMZ-P23477,Clothing · P23477,服饰鞋包,S6,海贸乱发(劣),Amazon,en,US,39.22,2025-01-27,0.63,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000009,AMZ-P22502,Electronics · P22502,3C数码,S7,锐捷制造,Amazon,en,US,22.94,2026-07-14,0.877,True,无明显瑕疵,Late delivery,一致（疑似非质量原因，倾向买家责任）,赢,dataset
RG-000010,AMZ-P20003,Books · P20003,饰品配件,S3,鑫源电子(劣),Amazon,en,US,31.22,2026-07-04,0.843,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,部分退款,dataset
RG-000011,AMZ-P21274,Home · P21274,小家电,S6,海贸乱发(劣),Amazon,en,US,76.33,2025-01-16,0.645,False,货不对板,Wrong item,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000012,AMZ-P22856,Sports · P22856,服饰鞋包,S3,鑫源电子(劣),Amazon,en,US,46.07,2025-07-19,0.883,True,外包装破损,Damaged,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000013,AMZ-P22712,Home · P22712,小家电,S6,海贸乱发(劣),Amazon,en,US,73.18,2025-05-12,0.61,False,货不对板,Not as described,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
RG-000014,AMZ-P20614,Electronics · P20614,3C数码,S3,鑫源电子(劣),Amazon,en,US,192.61,2026-05-10,0.87,True,功能故障,Quality issue,存在差异（货不对板 / 运输或质量瑕疵）,输,dataset
